anime_id,anime_title,anime_english_title,anime_japanese_title,anime_synonyms
9441,Yume-iro Pâtissière SP Professional,,夢色パティシエールSP（スペシャル）プロフェッショナル,"Yumeiro Patissiere SP Professional, YumePati Pro, Yume-iro Pâtissière 2, Dream-Colored Pastry Chef, Yumeiro Pâtissière SP Professional"
31380,To LOVE-Ru Darkness 2nd OVA,,To LOVEる -とらぶる- ダークネス2nd,To LOVE-Ru Trouble Darkness 2nd OVA
182,Tenkuu no Escaflowne (The Vision of Escaflowne),The Vision of Escaflowne,天空のエスカフローネ,Tenkuu no Escaflowne
33013,Super Lovers OVA,,SUPER LOVERS（スーパーラヴァーズ）,
6444,Tegamibachi (Tegami Bachi: Letter Bee),Tegami Bachi: Letter Bee,テガミバチ,
6046,Tales of Vesperia: The First Strike,Tales of Vesperia ~The First Strike~,テイルズ オブ ヴェスペリア,
24135,Nobunaga Concerto,,信長協奏曲〈コンツェルト〉,"Nobunaga Concierto, Nobunaga Kyousoukyoku"
2313,Muumindani no Suisei,,ムーミン谷の彗星,"A Comet in Moominvalley, Comet in Moominland, Muumin Movie"
323,Mousou Dairinin (Paranoia Agent),Paranoia Agent,妄想代理人,Mousou Dairinin
10389,Momo e no Tegami (A Letter to Momo),A Letter to Momo,ももへの手紙,Momo e no Tegami
7270,Mobile Suit Gundam 00 Special Edition,Mobile Suit Gundam 00 Special Edition,機動戦士ガンダム00 スペシャルエディション,"Kidou Senshi Gundam 00 Special Edition, Mobile Suit Gundam 00 Special Edition I: Celestial Being, Mobile Suit Gundam 00 Special Edition II: End of World, Mobile Suit Gundam 00 Special Edition III: Return of World"
331,Mahoujin Guruguru (Magical Circle Guru Guru),Magical Circle Guru Guru,魔法陣グルグル,
35658,Kuroko no Basket: Last Game NG-shuu,,黒子のバスケ LAST GAME NG集,
33089,Kemono Friends,,けものフレンズ,
24439,Kekkai Sensen (Blood Blockade Battlefront),Blood Blockade Battlefront,血界戦線,Bloodline Battlefront
3931,Initial D Battle Stage 2,,頭文字〈イニシャル〉D BATTLE STAGE 2,
488,Ichigo Mashimaro (Strawberry Marshmallow),Strawberry Marshmallow,苺ましまろ,
9760,Hoshi wo Ou Kodomo (Children Who Chase Lost Voices),Children Who Chase Lost Voices,星を追う子ども,"Children who Chase Lost Voices from Deep Below, Journey to Agartha"
6637,Higashi no Eden Movie II: Paradise Lost,Eden of The East the Movie II: Paradise Lost,東のエデン 劇場版II Paradise Lost,Higashi no Eden: Gekijouban II Paradise Lost
9065,Hakuouki Hekketsuroku,Hakuoki ~Demon of the Fleeting Blossom~ Record of the Jade Blood,薄桜鬼 碧血録,"Hakuouki 2, Hakuoki 2, Hakuouki Shinsengumi Kitan Hekketsuroku"
1281,Gakkou no Kaidan (Ghost Stories),Ghost Stories,学校の怪談,Ghosts at School
2471,Doraemon (1979) (Doraemon),Doraemon,ドラえもん,
966,Crayon Shin-chan (Shin Chan),Shin Chan,クレヨンしんちゃん,
4596,Code Geass: Hangyaku no Lelouch Special Edition Black Rebellion,,コードギアス 反逆のルルーシュ SPECIAL EDITION BLACK REBELLION,Code Geass: Lelouch of the Rebellion Special Edition Black Rebellion
15197,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Code Geass: Akito the Exiled - The Wyvern Divided,コードギアス 亡国のアキト 第２章「引き裂かれし翼竜」,
530,Bishoujo Senshi Sailor Moon (Sailor Moon),Sailor Moon,美少女戦士セーラームーン,Pretty Soldier Sailor Moon
9201,Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,,エア・ギア 黒の羽と眠りの森 -Break on the Sky-,Air Gear OVA
33337,ACCA: 13-ku Kansatsu-ka (ACCA: 13-Territory Inspection Dept.),ACCA: 13-Territory Inspection Dept.,ACCA 13区監察課,"ACCA: 13th Territory Inspection Department, ACCA: 13th Ward Observation Department, ACCA Jusanku Kansatsuka"
539,Tenchi Muyou! Ryououki (Tenchi Muyo! Ryo-Ohki),Tenchi Muyo! Ryo-Ohki,天地無用！魎皇鬼,
65,Rozen Maiden: Träumend,Rozen Maiden: Träumend,ローゼンメイデン ~ トロイメント,Rozen Maiden 2
1008,Ranma ½ Specials,,らんま１／２,Ranma 1/2 Specials
14407,Persona 3 the Movie 1: Spring of Birth,Persona 3 the Movie: #1 Spring of Birth,PERSONA3 THE MOVIE —#1 Spring of Birth—,"Shin Megami Tensei: Persona 3, P3M"
709,Mujin Wakusei Survive,,無人惑星サヴァイヴ,"Uninhabited Planet Survive, Survivants, Survive! - Uninhabited Planet, Uninhabited Planet SURVIVE, Uninhabited Planet Survival"
1412,Lupin III,Lupin III,ルパン三世,"Rupan Sansei, Lupin the Third"
32870,Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,Winter Cup Highlights Episode 2 – Winter Cup Highlights -Beyond the Tears-,劇場版「黒子のバスケ」ウインターカップ総集編～涙の先へ～,Kuroko's Basketball Movie 2: Winter Cup Highlights - Beyond the Tears
13403,Inu x Boku SS Special (Inu X Boku Secret Service Special),Inu X Boku Secret Service Special,妖狐×僕SS,Youko x Boku SS Special
10793,Guilty Crown,Guilty Crown,ギルティクラウン,GUILTY CROWN
13629,Furiko (Pendulum),Pendulum,振り子,Exogenesis: Symphony Part 3 (Redemption)
35191,Free! Movie 2: Timeless Medley - Yakusoku,,劇場版 Free!-Timeless Medley- 約束,
34439,Code Geass: Hangyaku no Lelouch II - Handou,,コードギアス 反逆のルルーシュⅡ 叛道,Code Geass: Lelouch of the Rebellion - Rebellion
6772,Break Blade 1: Kakusei no Toki (Broken Blade),Broken Blade,ブレイク ブレイド 覚醒ノ刻,"Breaker Blade, Break Blade 1: The Time of Awakening"
24913,Bokura wa Minna Kawai-sou: Hajimete no,,僕らはみんな河合荘 初めての,"The Kawai Complex Guide to Manors and Hostel Behavior: First Time, Bokura wa Minna Kawaisou Special"
856,Utawarerumono,Utawarerumono,うたわれるもの,The One Being Sung
1293,Urusei Yatsura,Urusei Yatsura,うる星やつら,"Lamu, Lum, Those Obnoxious Aliens"
95,Turn A Gundam (∀ Gundam),∀ Gundam,∀ガンダム,Mobile Suit Gundam Turn A
